classification	db_link	observation_name	observation_sum	BHT0.LOT01	BHT0.LOT03	BHT0.LOT04	BHT0.LOT05	BHT0.LOT06	BHT0.LOT07	BHT0.LOT08	BHT0.LOT10	CDT0.LOT02	CDT0.LOT04	CDT0.LOT05	CDT0.LOT06	CDT0.LOT07	CDT0.LOT08	CDT0.LOT09	CDT0.LOT10	DLT0.LOT01	DLT0.LOT03	DLT0.LOT04	DLT0.LOT05	DLT0.LOT06	DLT0.LOT07	DLT0.LOT08	DLT0.LOT10	FCT0.LOT01	FCT0.LOT02	FCT0.LOT03	FCT0.LOT05	FCT0.LOT06	FCT0.LOT07	FCT0.LOT08	FCT0.LOT10	FST0.LOT01	FST0.LOT02	FST0.LOT03	FST0.LOT05	FST0.LOT06	FST0.LOT07	FST0.LOT08	FST0.LOT10	MVT0.LOT01	MVT0.LOT03	MVT0.LOT05	MVT0.LOT06	MVT0.LOT07	MVT0.LOT08	MVT0.LOT09	MVT0.LOT10	SFT0.LOT01	SFT0.LOT02	SFT0.LOT03	SFT0.LOT04	SFT0.LOT05	SFT0.LOT06	SFT0.LOT07	SFT0.LOT08	VHT0.LOT01	VHT0.LOT02	VHT0.LOT03	VHT0.LOT04	VHT0.LOT06	VHT0.LOT07	VHT0.LOT08	VHT0.LOT10
Transferases;Transferring sulfur-containing groups;Sulfurtransferases;Biotin synthase	https://www.genome.jp/dbget-bin/www_bget?EC:2.8.1.6	EC:2.8.1.6	46957.200000000004	149.67	1251.67	266.83	346.0	189.17	121.33	299.83	86.5	2532.17	380.0	1334.17	347.3300000000001	5612.0	122.33	1925.0	3516.0	49.0	29.0	107.17	150.67	106.83	501.17	42.67	287.83	2005.67	159.83	61.17	141.17000000000004	90.5	105.0	1594.17	118.0	3280.67	792.6700000000002	808.67	781.67	1791.0	2369.83	3124.67	3144.83	77.67	219.67	384.83	851.5	532.5	201.0	123.5	17.0	1118.83	204.0	298.17	133.17000000000002	128.32999999999998	742.83	999.0	680.83	8.67	6.67	55.17	10.0	12.0	12.0	7.0	9.0
Transferases;Transferring sulfur-containing groups;Sulfurtransferases;Cysteine desulfurase	https://www.genome.jp/dbget-bin/www_bget?EC:2.8.1.7	EC:2.8.1.7	573552.8999999999	11924.34	5886.34	6859.66	11686.5	13027.84	10141.16	8759.66	11002.0	5275.84	1229.0	3652.34	1801.16	11330.0	3181.16	3921.5	7180.5	18014.0	19310.5	2440.84	13678.34	12785.16	5302.84	15893.84	8599.16	6714.34	1133.66	9036.34	7209.34	2165.5	8100.5	6605.84	619.5	10544.34	7269.34	7058.34	6831.84	5522.0	13656.66	9535.34	7675.66	10164.84	10278.34	3165.66	5552.5	2418.0	4750.0	14657.5	20264.0	2826.16	12991.0	12168.34	13305.34	15569.16	1537.66	4637.0	2971.16	20937.84	11836.84	7430.34	12838.0	8671.5	18623.5	21696.5	11699.5
Transferases;Transferring sulfur-containing groups;Sulfurtransferases;Lipoyl synthase	https://www.genome.jp/dbget-bin/www_bget?EC:2.8.1.8	EC:2.8.1.8	31685.200000000004	149.67	1251.67	266.83	346.0	189.17	121.33	299.83	86.5	0.17	6.0	185.17	221.33	5.0	1.33	1.0	77.0	49.0	29.0	107.17	150.67	106.83	501.17	42.67	287.83	2005.67	159.83	61.17	141.17000000000004	90.5	105.0	1594.17	118.0	3280.67	792.6700000000002	808.67	781.67	1791.0	2369.83	3124.67	3144.83	77.67	219.67	384.83	851.5	532.5	201.0	123.5	17.0	1118.83	204.0	298.17	133.17000000000002	128.32999999999998	742.83	999.0	680.83	8.67	6.67	55.17	10.0	12.0	12.0	7.0	9.0
Transferases;Transferring sulfur-containing groups;Sulfotransferases;Aryl-sulfate sulfotransferase	https://www.genome.jp/dbget-bin/www_bget?EC:2.8.2.22	EC:2.8.2.22	40711.0	342.0	70.0	71.0	218.0	81.0	199.0	114.0	99.0	0.0	3.0	24.0	41.0	2.0	2.0	1.0	8.0	14.0	4.0	102.0	138.0	85.0	167.0	25.0	115.0	2.0	135.0	32.0	21.0	114.0	69.0	98.0	93.0	38.0	1682.0	1598.0	1495.0	20.0	52.0	14.0	21.0	3225.0	3156.0	700.0	1200.0	286.0	1358.0	4747.0	6722.0	106.0	2767.0	1116.0	2788.0	3843.0	11.0	738.0	91.0	78.0	16.0	119.0	53.0	30.0	46.0	61.0	45.0
Transferases;Transferring sulfur-containing groups;CoA-transferases;Citrate CoA-transferase	https://www.genome.jp/dbget-bin/www_bget?EC:2.8.3.10	EC:2.8.3.10	55388.5	1263.0	178.5	692.5	1117.5	892.5	886.0	591.0	755.0	1.5	11.5	66.0	81.0	10.5	9.0	3.5	33.5	14.0	4.0	102.5	142.5	88.0	177.5	26.5	170.5	2.0	137.5	33.0	21.0	115.5	69.5	100.0	94.0	233.5	1756.0	1630.0	1516.5	1156.0	335.0	787.5	522.0	3235.5	3165.5	712.5	1251.5	320.5	1363.5	4829.5	6732.0	121.5	3113.0	1381.0	3446.0	4266.5	12.0	809.0	170.5	316.5	603.0	1055.0	665.5	430.5	213.5	331.0	1016.5
Transferases;Transferring sulfur-containing groups;CoA-transferases;Succinyl-CoA:acetate CoA-transferase	https://www.genome.jp/dbget-bin/www_bget?EC:2.8.3.18	EC:2.8.3.18	22275.0	146.0	1251.0	263.0	327.0	180.0	118.0	293.0	86.0	0.0	5.0	179.0	212.0	5.0	1.0	0.0	77.0	49.0	26.0	105.0	148.0	69.0	430.0	42.0	287.0	0.0	23.0	13.0	58.0	43.0	61.0	64.0	37.0	3265.0	653.0	723.0	676.0	1305.0	2284.0	3068.0	3127.0	71.0	216.0	378.0	846.0	210.0	190.0	122.0	13.0	3.0	173.0	34.0	105.0	86.0	1.0	14.0	16.0	3.0	6.0	54.0	6.0	9.0	9.0	3.0	8.0
Transferases;Transferring sulfur-containing groups;CoA-transferases;3-oxoacid CoA-transferase	https://www.genome.jp/dbget-bin/www_bget?EC:2.8.3.5	EC:2.8.3.5	8376.0	0.0	0.0	0.0	32.0	12.0	0.0	4.0	0.0	0.0	2.0	12.0	18.0	0.0	0.0	2.0	0.0	0.0	6.0	2.0	4.0	74.0	140.0	0.0	0.0	3990.0	2.0	0.0	24.0	86.0	82.0	2890.0	18.0	24.0	220.0	112.0	160.0	32.0	160.0	110.0	22.0	12.0	6.0	8.0	8.0	18.0	16.0	2.0	8.0	0.0	0.0	0.0	14.0	8.0	0.0	0.0	0.0	8.0	0.0	0.0	8.0	6.0	6.0	8.0	0.0
Transferases;Transferring sulfur-containing groups;Transferring alkylthio groups;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	https://www.genome.jp/dbget-bin/www_bget?EC:2.8.4.3	EC:2.8.4.3	46957.200000000004	149.67	1251.67	266.83	346.0	189.17	121.33	299.83	86.5	2532.17	380.0	1334.17	347.3300000000001	5612.0	122.33	1925.0	3516.0	49.0	29.0	107.17	150.67	106.83	501.17	42.67	287.83	2005.67	159.83	61.17	141.17000000000004	90.5	105.0	1594.17	118.0	3280.67	792.6700000000002	808.67	781.67	1791.0	2369.83	3124.67	3144.83	77.67	219.67	384.83	851.5	532.5	201.0	123.5	17.0	1118.83	204.0	298.17	133.17000000000002	128.32999999999998	742.83	999.0	680.83	8.67	6.67	55.17	10.0	12.0	12.0	7.0	9.0
Transferases;Transferring sulfur-containing groups;Transferring alkylthio groups;[Ribosomal protein S12] (aspartate(89)-C(3))-methylthiotransferase	https://www.genome.jp/dbget-bin/www_bget?EC:2.8.4.4	EC:2.8.4.4	19460.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	2532.0	375.0	1155.0	135.0	5607.0	121.0	1925.0	3439.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Transferases;Transferring sulfur-containing groups;Transferring alkylthio groups;tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase	https://www.genome.jp/dbget-bin/www_bget?EC:2.8.4.5	EC:2.8.4.5	19460.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	2532.0	375.0	1155.0	135.0	5607.0	121.0	1925.0	3439.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Transferases;Transferring selenium-containing groups;Selenotransferases;L-seryl-tRNA(Sec) selenium transferase	https://www.genome.jp/dbget-bin/www_bget?EC:2.9.1.1	EC:2.9.1.1	90071.20000000001	794.67	402.67	436.83	914.0	1235.17	656.33	445.83	2621.5	64.17	77.0	263.17	302.33	22.0	894.33	19.0	30.0	5958.0	6389.0	637.17	4312.67	4095.83	1240.17	5241.67	2367.83	809.67	249.83	54.17	122.17	538.5	87.0	1114.17	104.0	1034.67	86.67	127.67	162.67000000000004	657.0	2479.83	727.67	243.83	70.67	96.67	59.83	56.5	461.5	48.0	12.5	4.0	1157.83	852.0	2595.17	617.17	706.33	744.83	1019.0	1035.83	6609.67	3095.67	1105.17	3796.0	2010.0	5984.0	6741.0	3171.0
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;Carboxylesterase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.1	EC:3.1.1.1	125560.0	1133.0	472.0	504.0	1129.0	1313.0	852.0	555.0	2720.0	64.0	80.0	287.0	343.0	24.0	896.0	20.0	38.0	5972.0	6393.0	738.0	4450.0	4180.0	1406.0	5266.0	2482.0	801.0	249.0	38.0	72.0	648.0	153.0	1127.0	125.0	1069.0	1739.0	1696.0	1632.0	207.0	2526.0	740.0	258.0	3295.0	3252.0	757.0	1255.0	434.0	1403.0	4759.0	6726.0	148.0	3588.0	3447.0	3384.0	4511.0	14.0	772.0	462.0	6686.0	3111.0	1223.0	3849.0	2040.0	6030.0	6802.0	3215.0
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;Pectinesterase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.11	EC:3.1.1.11	4188.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	0.0	1.0	6.0	9.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;Aminoacyl-tRNA hydrolase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.29	EC:3.1.1.29	218926.69999999998	4638.67	2451.67	2789.83	4610.5	4946.67	3878.83	3337.83	4133.5	3759.67	573.8	1690.17	757.6299999999999	5653.2	2205.83	1950.9	3582.5	6021.0	6446.5	849.67	4612.67	4299.33	1941.67	5313.17	2999.33	2906.67	432.83	3033.17	2450.17	753.0	2735.5	2734.67	246.5	4738.67	2736.67	2643.67	2552.17	3195.0	5530.83	4735.67	3940.83	3421.17	3505.67	1191.83	2169.0	1006.5	1654.0	4982.0	6767.0	1325.33	4629.0	4332.17	4918.17	5514.83	760.83	1926.0	1270.33	7141.17	4339.17	3119.17	4691.4	3162.9	6323.5	7414.5	4550.5
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;Triacylglycerol lipase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.3	EC:3.1.1.3	44550.0	292.0	2502.0	526.0	654.0	360.0	236.0	586.0	172.0	0.0	10.0	358.0	424.0	10.0	2.0	0.0	154.0	98.0	52.0	210.0	296.0	138.0	860.0	84.0	574.0	0.0	46.0	26.0	116.0	86.0	122.0	128.0	74.0	6530.0	1306.0	1446.0	1352.0	2610.0	4568.0	6136.0	6254.0	142.0	432.0	756.0	1692.0	420.0	380.0	244.0	26.0	6.0	346.0	68.0	210.0	172.0	2.0	28.0	32.0	6.0	12.0	108.0	12.0	18.0	18.0	6.0	16.0
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;6-phosphogluconolactonase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.31	EC:3.1.1.31	218332.19999999998	5559.67	2560.17	3411.33	5510.0	5758.17	4565.83	3814.83	4789.5	1229.17	208.3	583.1700000000002	671.6299999999999	54.7	2091.83	29.4	169.0	6021.0	6446.5	850.17	4617.17	4302.33	1952.17	5314.67	3054.83	2906.67	435.33	3034.17	2450.17	754.5	2736.0	2736.67	247.5	4934.17	2810.67	2675.67	2573.67	4331.0	5813.83	5509.17	4441.83	3431.67	3515.17	1204.33	2220.5	1041.0	1659.5	5064.5	6777.0	1340.83	4975.0	4597.17	5576.17	5938.33	761.83	1997.0	1349.83	7379.67	4926.17	4055.17	5303.9	3563.4	6491.0	7684.5	5522.0
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;Phospholipase A(1)	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.32	EC:3.1.1.32	14632.4	7.34	1.34	7.66	22.0	12.34	6.66	11.66	1.0	0.34	1.0	6.34	9.66	0.0	0.66	1.0	0.0	0.0	3.0	3.34	3.34	38.66	72.34	1.34	1.66	2016.34	272.66	96.34	154.34	52.0	47.0	1615.34	153.0	19.34	169.34	115.34	131.34	956.0	91.66	58.34	24.66	7.34	4.34	9.66	7.0	636.0	14.0	2.0	4.0	2231.66	62.0	528.34	49.34	80.66	1483.66	1970.0	1329.66	7.34	1.34	2.34	4.0	3.0	3.0	4.0	2.0
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;Phospholipase A(2)	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.4	EC:3.1.1.4	14632.4	7.34	1.34	7.66	22.0	12.34	6.66	11.66	1.0	0.34	1.0	6.34	9.66	0.0	0.66	1.0	0.0	0.0	3.0	3.34	3.34	38.66	72.34	1.34	1.66	2016.34	272.66	96.34	154.34	52.0	47.0	1615.34	153.0	19.34	169.34	115.34	131.34	956.0	91.66	58.34	24.66	7.34	4.34	9.66	7.0	636.0	14.0	2.0	4.0	2231.66	62.0	528.34	49.34	80.66	1483.66	1970.0	1329.66	7.34	1.34	2.34	4.0	3.0	3.0	4.0	2.0
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;Lysophospholipase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.5	EC:3.1.1.5	37941.6	157.01	1253.01	274.49	336.0	189.51	127.99	307.49	87.5	0.51	5.0	179.51	212.99	5.0	1.99	0.0	77.0	49.0	26.0	108.51	150.01	71.49	433.51	44.01	289.49	32.01	430.49	157.51	271.51	56.5	70.0	319.51	253.0	3276.01	742.01	812.01	753.01	2715.0	2301.49	3073.01	3147.49	73.01	218.01	386.49	850.5	1150.5	199.0	123.5	13.0	3350.49	266.0	826.51	168.51	200.99	2226.49	2969.0	2010.49	8.01	8.01	57.51	6.0	9.0	9.0	3.0	11.0
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;Sialate O-acetylesterase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.53	EC:3.1.1.53	4188.0	0.0	0.0	0.0	16.0	6.0	0.0	2.0	0.0	0.0	1.0	6.0	9.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	37.0	70.0	0.0	0.0	1995.0	1.0	0.0	12.0	43.0	41.0	1445.0	9.0	12.0	110.0	56.0	80.0	16.0	80.0	55.0	11.0	6.0	3.0	4.0	4.0	9.0	8.0	1.0	4.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	3.0	3.0	4.0	0.0
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;Protein-glutamate methylesterase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.61	EC:3.1.1.61	25716.4	7.34	1.34	7.66	6.0	6.34	6.66	9.66	1.0	2532.34	374.0	1149.34	126.66	5607.0	121.66	1924.0	3439.0	0.0	0.0	2.34	1.34	1.66	2.34	1.34	1.66	21.34	271.66	96.34	142.34	9.0	6.0	170.34	144.0	7.34	59.34	59.34	51.34	940.0	11.66	3.34	13.66	1.34	1.34	5.66	3.0	627.0	6.0	1.0	0.0	2231.66	62.0	528.34	42.34	76.66	1483.66	1970.0	1329.66	3.34	1.34	2.34	0.0	0.0	0.0	0.0	2.0
Hydrolases;Acting on ester bonds;Carboxylic-ester hydrolases;Pimeloyl-[acyl-carrier protein] methyl ester esterase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.1.85	EC:3.1.1.85	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Hydrolases;Acting on ester bonds;Exodeoxyribonucleases producing 5'-phosphomonoesters;Exodeoxyribonuclease I	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.11.1	EC:3.1.11.1	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Hydrolases;Acting on ester bonds;Exodeoxyribonucleases producing 5'-phosphomonoesters;Exodeoxyribonuclease III	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.11.2	EC:3.1.11.2	218926.69999999998	4638.67	2451.67	2789.83	4610.5	4946.67	3878.83	3337.83	4133.5	3759.67	573.8	1690.17	757.6299999999999	5653.2	2205.83	1950.9	3582.5	6021.0	6446.5	849.67	4612.67	4299.33	1941.67	5313.17	2999.33	2906.67	432.83	3033.17	2450.17	753.0	2735.5	2734.67	246.5	4738.67	2736.67	2643.67	2552.17	3195.0	5530.83	4735.67	3940.83	3421.17	3505.67	1191.83	2169.0	1006.5	1654.0	4982.0	6767.0	1325.33	4629.0	4332.17	4918.17	5514.83	760.83	1926.0	1270.33	7141.17	4339.17	3119.17	4691.4	3162.9	6323.5	7414.5	4550.5
Hydrolases;Acting on ester bonds;Exodeoxyribonucleases producing 5'-phosphomonoesters;Exodeoxyribonuclease V	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.11.5	EC:3.1.11.5	269733.10000000003	4938.01	4955.01	3323.49	5254.5	5307.01	4121.49	3931.49	4306.5	3760.01	582.8	2042.51	1173.29	5663.2	2208.49	1949.9	3736.5	6119.0	6495.5	1061.01	4908.01	4401.99	2734.01	5398.51	3574.99	933.01	749.49	3155.51	2696.51	805.0	2822.5	1588.01	455.5	11264.01	3992.01	4093.01	3875.51	6729.0	10030.49	10820.01	10197.49	3558.51	3936.01	1949.49	3860.0	2044.5	2032.0	5226.0	6789.0	3562.99	5037.0	4928.51	5163.51	5759.49	2246.49	3924.0	2631.99	7146.51	4352.51	3229.51	4699.4	3177.9	6338.5	7416.5	4568.5
Hydrolases;Acting on ester bonds;Exodeoxyribonucleases producing 5'-phosphomonoesters;Exodeoxyribonuclease VII	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.11.6	EC:3.1.11.6	429477.39999999997	9277.34	4903.34	5579.66	9189.0	9881.34	7757.66	6671.66	8267.0	7519.34	1145.6	3368.34	1497.2599999999998	11306.4	4411.66	3899.8	7165.0	12042.0	12887.0	1697.34	9221.34	8524.66	3743.34	10626.34	5998.66	1823.34	863.6600000000002	6066.34	4876.34	1420.0	5389.0	2579.34	475.0	9453.34	5253.34	5175.34	4944.34	6358.0	10901.66	9361.34	7859.66	6830.34	7005.34	2375.66	4330.0	1995.0	3292.0	9962.0	13526.0	2650.66	9258.0	8664.34	9822.34	11021.66	1521.66	3852.0	2540.66	14274.34	8678.34	6238.34	9374.8	6319.8	12641.0	14821.0	9101.0
Hydrolases;Acting on ester bonds;Exodeoxyribonucleases producing 3'-phosphomonoesters;5' to 3' exodeoxyribonuclease (nucleoside 3'-phosphate-forming)	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.12.1	EC:3.1.12.1	15272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2532.0	374.0	1149.0	126.0	5607.0	121.0	1924.0	3439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hydrolases;Acting on ester bonds;Exoribonucleases producing 5'-phosphomonoesters;Exoribonuclease II	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.13.1	EC:3.1.13.1	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Hydrolases;Acting on ester bonds;Exoribonucleases producing 5'-phosphomonoesters;Oligonucleotidase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.13.3	EC:3.1.13.3	191429.5	4489.0	1200.0	2523.0	4280.5	4763.5	3757.5	3040.0	4047.0	3759.5	568.8	1511.0	545.3	5648.2	2204.5	1950.9	3505.5	5972.0	6420.5	743.5	4464.0	4229.5	1510.5	5270.5	2711.5	2896.0	274.0	2972.0	2321.0	705.5	2671.5	2585.5	137.5	1470.0	2054.0	1891.0	1850.5	1420.0	3241.0	1666.0	807.0	3349.5	3289.0	811.0	1321.5	483.0	1461.0	4859.5	6754.0	206.5	4425.0	4034.0	4792.0	5390.5	18.0	927.0	589.5	7136.5	4332.5	3064.0	4685.4	3153.9	6314.5	7411.5	4541.5
Hydrolases;Acting on ester bonds;Exoribonucleases producing 5'-phosphomonoesters;Ribonuclease D	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.13.5	EC:3.1.13.5	27497.2	149.67	1251.67	266.83	330.0	183.17	121.33	297.83	86.5	0.17	5.0	179.17	212.33	5.0	1.33	0.0	77.0	49.0	26.0	106.17	148.67	69.83	431.17	42.67	287.83	10.67	158.83	61.17	129.17000000000002	47.5	64.0	149.17000000000004	109.0	3268.67	682.67	752.67	701.67	1775.0	2289.83	3069.67	3133.83	71.67	216.67	380.83	847.5	523.5	193.0	122.5	13.0	1118.83	204.0	298.17	126.17	124.33	742.83	999.0	680.83	4.67	6.67	55.17	6.0	9.0	9.0	3.0	9.0
Hydrolases;Acting on ester bonds;Thioester hydrolases;S-formylglutathione hydrolase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.2.12	EC:3.1.2.12	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Hydrolases;Acting on ester bonds;Thioester hydrolases;Acyl-CoA hydrolase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.2.20	EC:3.1.2.20	40711.0	342.0	70.0	71.0	218.0	81.0	199.0	114.0	99.0	0.0	3.0	24.0	41.0	2.0	2.0	1.0	8.0	14.0	4.0	102.0	138.0	85.0	167.0	25.0	115.0	2.0	135.0	32.0	21.0	114.0	69.0	98.0	93.0	38.0	1682.0	1598.0	1495.0	20.0	52.0	14.0	21.0	3225.0	3156.0	700.0	1200.0	286.0	1358.0	4747.0	6722.0	106.0	2767.0	1116.0	2788.0	3843.0	11.0	738.0	91.0	78.0	16.0	119.0	53.0	30.0	46.0	61.0	45.0
Hydrolases;Acting on ester bonds;Thioester hydrolases;Dodecanoyl-[acyl-carrier-protein] hydrolase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.2.21	EC:3.1.2.21	87120.5	3698.0	798.0	2090.0	3353.5	3525.5	3104.5	2597.0	1426.0	1163.5	116.8	93.0	108.3	19.2	1189.5	6.9	36.5	14.0	28.5	106.5	150.0	97.5	201.5	29.5	344.5	102.0	159.0	2966.0	2258.0	128.5	2546.5	111.5	96.5	427.0	1887.0	1737.0	1633.5	1217.0	687.0	885.0	559.0	3273.5	3190.0	750.0	1262.5	326.0	1408.0	4846.5	6746.0	164.5	3604.0	1703.0	4189.0	4718.5	15.0	893.0	218.5	524.5	1237.5	1960.0	885.4	1140.9	327.5	666.5	1371.5
Hydrolases;Acting on ester bonds;Thioester hydrolases;Hydroxyacylglutathione hydrolase	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.2.6	EC:3.1.2.6	9410.2	3.67	0.67	3.83	19.0	9.17	3.33	6.83	0.5	0.17	1.0	6.17	9.33	0.0	0.33	1.0	0.0	0.0	3.0	2.17	2.67	37.83	71.17	0.67	0.83	2005.67	136.83	48.17	83.17	47.5	44.0	1530.17	81.0	15.67	139.67000000000002	85.67	105.67	486.0	85.83	56.67	17.83	6.67	3.67	6.83	5.5	322.5	11.0	1.5	4.0	1115.83	31.0	264.17	28.17	42.33	741.83	985.0	664.83	5.67	0.67	1.17	4.0	3.0	3.0	4.0	1.0
Hydrolases;Acting on ester bonds;Endodeoxyribonucleases producing 5'-phosphomonoesters;Deoxyribonuclease I	https://www.genome.jp/dbget-bin/www_bget?EC:3.1.21.1	EC:3.1.21.1	10444.4	7.34	1.34	7.66	6.0	6.34	6.66	9.66	1.0	0.34	0.0	0.34	0.66	0.0	0.66	0.0	0.0	0.0	0.0	2.34	1.34	1.66	2.34	1.34	1.66	21.34	271.66	96.34	142.34	9.0	6.0	170.34	144.0	7.34	59.34	59.34	51.34	940.0	11.66	3.34	13.66	1.34	1.34	5.66	3.0	627.0	6.0	1.0	0.0	2231.66	62.0	528.34	42.34	76.66	1483.66	1970.0	1329.66	3.34	1.34	2.34	0.0	0.0	0.0	0.0	2.0
