#Level1	Level2	Level3	unknown	Pathway
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Shikimate Degradation	shikimate degradation II	PWY-6419
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	pyrroloquinoline quinone biosynthesis	PWY-6420
Detoxification	Arsenate Detoxification	Arsenate Detoxification	arsenate detoxification III (mycothiol)	PWY-6421
Degradation/Utilization/Assimilation	Amino Acid Degradation	Other Amino Acid Degradation	D-arginine degradation	PWY-6422
Degradation/Utilization/Assimilation	Protein Degradation	unknow	hemoglobin degradation	PWY-6423
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	rotenoid biosynthesis II	PWY-6425
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	Pyrimidine Nucleobase Degradation	uracil degradation II (oxidative)	PWY-6426
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	rot-2'-enonate biosynthesis	PWY-6427
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	Pyrimidine Nucleobase Degradation	thymine degradation	PWY-6430
Biosynthesis	Aromatic Compound Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-hydroxybenzoate biosynthesis IV	PWY-6431
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	curcuminoid biosynthesis	PWY-6432
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	hydroxylated fatty acid biosynthesis (plants)	PWY-6433
Biosynthesis	Aromatic Compound Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-hydroxybenzoate biosynthesis V	PWY-6435
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	perillyl aldehyde biosynthesis	PWY-6436
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	fenchol biosynthesis I	PWY-6437
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	phenylphenalenone biosynthesis	PWY-6438
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Spermine and Spermidine Degradation	spermine and spermidine degradation II	PWY-6440
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Spermine and Spermidine Degradation	spermine and spermidine degradation III	PWY-6441
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	spermidine hydroxycinnamic acid conjugates biosynthesis	PWY-6442
Biosynthesis	Aromatic Compound Biosynthesis	Benzoate Biosynthesis	benzoate biosynthesis I (CoA-dependent, &beta,-oxidative)	PWY-6443
Biosynthesis	Aromatic Compound Biosynthesis	Benzoate Biosynthesis	benzoate biosynthesis II (CoA-independent, non-&beta,-oxidative)	PWY-6444
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	fenchol biosynthesis II	PWY-6445
Biosynthesis	Aromatic Compound Biosynthesis	Benzoate Biosynthesis	benzoate biosynthesis III (CoA-dependent, non-&beta,-oxidative)	PWY-6446
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	trichome monoterpenes biosynthesis	PWY-6447
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	hordatine biosynthesis	PWY-6448
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	fenchone biosynthesis	PWY-6449
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	3-carene biosynthesis	PWY-6451
Biosynthesis	Fatty Acid and Lipid Biosynthesis	unknow	stigma estolide biosynthesis	PWY-6453
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	vancomycin resistance I	PWY-6454
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	vancomycin resistance II	PWY-6455
Biosynthesis	Amine and Polyamine Biosynthesis	unknow	serinol biosynthesis	PWY-6456
Biosynthesis	Aromatic Compound Biosynthesis	Secondary Metabolite Biosynthesis	trans-cinnamoyl-CoA biosynthesis	PWY-6457
Biosynthesis	Aromatic Compound Biosynthesis	unknow	benzoyl-CoA biosynthesis	PWY-6458
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	peptidoglycan cross-bridge biosynthesis I (S. aureus)	PWY-6459
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	peptidoglycan cross-bridge biosynthesis II (E. faecium)	PWY-6461
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)	PWY-6462
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)	PWY-6463
Degradation/Utilization/Assimilation	Alcohol Degradation	unknow	polyvinyl alcohol degradation	PWY-6464
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	pyridoxal 5'-phosphate biosynthesis II	PWY-6466
Biosynthesis	Cell Structure Biosynthesis	Lipopolysaccharide Biosynthesis	Kdo transfer to lipid IVA III (Chlamydia)	PWY-6467
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	peptidoglycan biosynthesis V (&beta,-lactam resistance)	PWY-6470
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	peptidoglycan biosynthesis IV (Enterococcus faecium)	PWY-6471
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutanoate Degradation	4-aminobutanoate degradation IV	PWY-6473
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	trans-lycopene biosynthesis II (plants)	PWY-6475
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	cytidylyl molybdenum cofactor biosynthesis	PWY-6476
Activation/Inactivation/Interconversion	Inactivation	Gibberellin Inactivation	gibberellin inactivation II (methylation)	PWY-6477
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	GDP-D-glycero-&alpha,-D-manno-heptose biosynthesis	PWY-6478
Biosynthesis	Other Biosynthesis	unknow	L-dopachrome biosynthesis	PWY-6481
Biosynthesis	Amino Acid Biosynthesis	Modification of Amino Acid Within Proteins	diphthamide biosynthesis (archaea)	PWY-6482
Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	Ceramide and Sphingolipid Recycling and Degradation	ceramide degradation	PWY-6483
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	D-galacturonate degradation II	PWY-6486
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	D-galacturonate degradation III	PWY-6491
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	chanoclavine I aldehyde biosynthesis	PWY-6493
Activation/Inactivation/Interconversion	Inactivation	Gibberellin Inactivation	gibberellin inactivation III (epoxidation)	PWY-6494
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	ergotamine biosynthesis	PWY-6495
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	D-galactarate degradation II	PWY-6497
Biosynthesis	Other Biosynthesis	unknow	eumelanin biosynthesis	PWY-6498
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	D-glucarate degradation II	PWY-6499
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	D-glucuronate degradation II	PWY-6501
Detoxification	8-oxo-GTP and 8-oxo-dGTP Detoxification	Metabolic Clusters	oxidized GTP and dGTP detoxification	PWY-6502
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	superpathway of ergotamine biosynthesis	PWY-6503
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	2-Aminobenzoate Degradation	anthranilate degradation IV (aerobic)	PWY-6504
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-tryptophan degradation XII (Geobacillus)	PWY-6505
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	4-deoxy-L-threo-hex-4-enopyranuronate degradation	PWY-6507
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	Methanol Oxidation	methanol oxidation to formaldehyde III	PWY-6509
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	Methanol Oxidation	methanol oxidation to formaldehyde II	PWY-6510
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	3-methylarginine biosynthesis	PWY-6511
Generation of Precursor Metabolites and Energy	Chemoautotrophic Energy Metabolism	Hydrogen Oxidation	hydrogen oxidation III (anaerobic, NADP)	PWY-6512
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	phloridzin biosynthesis	PWY-6515
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	superpathway of microbial D-galacturonate and D-glucuronate degradation	PWY-6516
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	N-acetylglucosamine degradation	N-acetylglucosamine degradation II	PWY-6517
Degradation/Utilization/Assimilation	Carboxylate Degradation	Bile Acid Degradation	glycocholate metabolism (bacteria)	PWY-6518
Biosynthesis	Other Biosynthesis	8-Amino-7-oxononanoate Biosynthesis	8-amino-7-oxononanoate biosynthesis I	PWY-6519
Biosynthesis	Polyprenyl Biosynthesis	All-trans Polyprenyl Biosynthesis	nonaprenyl diphosphate biosynthesis II	PWY-6520
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	methane oxidation to methanol	nitrite-dependent anaerobic methane oxidation	PWY-6523
Biosynthesis	Carbohydrate Biosynthesis	Oligosaccharide Biosynthesis	lychnose and isolychnose biosynthesis	PWY-6524
Biosynthesis	Carbohydrate Biosynthesis	Oligosaccharide Biosynthesis	stellariose and mediose biosynthesis	PWY-6525
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Terpenoid Degradation	limonene degradation III (to perillate)	PWY-6526
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	stachyose degradation	PWY-6527
Generation of Precursor Metabolites and Energy	Respiration	unknown	chlorate reduction	PWY-6529
Generation of Precursor Metabolites and Energy	Respiration	unknown	perchlorate reduction	PWY-6530
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	mannitol cycle	PWY-6531
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	diphenylamine degradation	PWY-6532
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	aniline degradation	PWY-6533
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Phenylethylamine Degradation	phenylethylamine degradation II	PWY-6534
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutanoate Degradation	4-aminobutanoate degradation I	PWY-6535
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutanoate Degradation	4-aminobutanoate degradation III	PWY-6536
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutanoate Degradation	4-aminobutanoate degradation II	PWY-6537
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Nitrogen Containing Secondary Compound Degradation	caffeine degradation III (bacteria, via demethylation)	PWY-6538
Biosynthesis	Secondary Metabolite Biosynthesis	Sulfur-Containing Secondary Compound Biosynthesis	(Z)-phenylmethanethial S-oxide biosynthesis	PWY-6539
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	costunolide biosynthesis	PWY-6540
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	4-Aminobenzoate Biosynthesis	4-aminobenzoate biosynthesis	PWY-6543
Superpathways	Superpathways	unknow	superpathway of C28 brassinosteroid biosynthesis	PWY-6544
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	2\'-Deoxyribonucleotide Biosynthesis	pyrimidine deoxyribonucleotides de novo biosynthesis III	PWY-6545
Activation/Inactivation/Interconversion	Inactivation	Degradation/Utilization/Assimilation	brassinosteroids inactivation	PWY-6546
Biosynthesis	Amino Acid Biosynthesis	unknow	L-glutamine biosynthesis III	PWY-6549
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	carbazole degradation	PWY-6550
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Nitrogen Containing Secondary Compound Degradation	caffeine degradation I (main, plants)	PWY-6552
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Nitrogen Containing Secondary Compound Degradation	caffeine degradation II	PWY-6553
Biosynthesis	Secondary Metabolite Biosynthesis	Sugar Derivative Biosynthesis	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	PWY-6554
Biosynthesis	Secondary Metabolite Biosynthesis	Sugar Derivative Biosynthesis	superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)	PWY-6555
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Pyrimidine Nucleotide Biosynthesis	pyrimidine ribonucleosides salvage II	PWY-6556
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	glycoaminoglycan-protein linkage region biosynthesis	PWY-6557
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	heparan sulfate biosynthesis (late stages)	PWY-6558
Biosynthesis	Amine and Polyamine Biosynthesis	Spermidine Biosynthesis	spermidine biosynthesis II	PWY-6559
Biosynthesis	Amine and Polyamine Biosynthesis	unknow	norspermidine biosynthesis	PWY-6562
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	heparan sulfate biosynthesis	PWY-6564
Biosynthesis	Amine and Polyamine Biosynthesis	Superpathways	superpathway of polyamine biosynthesis III	PWY-6565
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	chondroitin biosynthesis	PWY-6566
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	chondroitin sulfate biosynthesis (late stages)	PWY-6567
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	dermatan sulfate biosynthesis (late stages)	PWY-6568
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	chondroitin sulfate biosynthesis	PWY-6569
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	dermatan sulfate biosynthesis	PWY-6571
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	chondroitin sulfate degradation I (bacterial)	PWY-6572
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	chondroitin sulfate degradation (metazoa)	PWY-6573
Biosynthesis	Secondary Metabolite Biosynthesis	Siderophore and Metallophore Biosynthesis	achromobactin biosynthesis	PWY-6574
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	juvenile hormone III biosynthesis I	PWY-6575
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	dermatan sulfate degradation (metazoa)	PWY-6576
Biosynthesis	Polyprenyl Biosynthesis	All-trans Polyprenyl Biosynthesis	farnesylcysteine salvage pathway	PWY-6577
Biosynthesis	Other Biosynthesis	8-Amino-7-oxononanoate Biosynthesis	8-amino-7-oxononanoate biosynthesis III	PWY-6578
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	PWY-6579	unknown	PWY-6579
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Phospholipid Biosynthesis	phosphatidylinositol biosynthesis I (bacteria)	PWY-6580
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis	PWY-6581
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	pyruvate fermentation to butanol I	PWY-6583
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	2-methylketone biosynthesis	PWY-6585
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	pyruvate fermentation to ethanol III	PWY-6587
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	pyruvate fermentation to acetone	PWY-6588
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	superpathway of Clostridium acetobutylicum acidogenic fermentation	PWY-6590
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Manganese Oxidation	manganese oxidation I	PWY-6591
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Manganese Oxidation	manganese oxidation II	PWY-6592
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfoacetate degradation	PWY-6593
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	superpathway of Clostridium acetobutylicum solventogenic fermentation	PWY-6594
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	Superpathways	superpathway of guanosine nucleotides degradation (plants)	PWY-6595
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	adenosine	adenosine nucleotides degradation I	PWY-6596
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	sciadonate biosynthesis	PWY-6598
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	guanine and guanosine salvage II	PWY-6599
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	PWY-66
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	C-glycosylflavone biosynthesis I	PWY-6602
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	dicranin biosynthesis	PWY-6603
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation	PWY-6604
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	adenine and adenosine salvage II	PWY-6605
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	adenosine	guanosine nucleotides degradation II	PWY-6606
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	adenosine	guanosine nucleotides degradation I	PWY-6607
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	adenosine	guanosine nucleotides degradation III	PWY-6608
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	adenine and adenosine salvage III	PWY-6609
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	adenine and adenosine salvage IV	PWY-6610
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	adenine and adenosine salvage V	PWY-6611
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	superpathway of tetrahydrofolate biosynthesis	PWY-6612
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	PWY-6613
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	tetrahydrofolate biosynthesis	PWY-6614
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfolactate degradation I	PWY-6616
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	adenosine	adenosine nucleotides degradation III	PWY-6617
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	guanine and guanosine salvage III	PWY-6618
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	adenine and adenosine salvage VI	PWY-6619
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	guanine and guanosine salvage	PWY-6620
Biosynthesis	Aromatic Compound Biosynthesis	Salicylate and Derivatives Biosynthesis	salicylate glucosides biosynthesis I	PWY-6621
Biosynthesis	Carbohydrate Biosynthesis	Alkane Biosynthesis	heptadecane biosynthesis	PWY-6622
Biosynthesis	Aromatic Compound Biosynthesis	Salicylate and Derivatives Biosynthesis	salicylate glucosides biosynthesis II	PWY-6623
Biosynthesis	Aromatic Compound Biosynthesis	Salicylate and Derivatives Biosynthesis	salicylate glucosides biosynthesis III	PWY-6624
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	CDP-2-glycerol biosynthesis	PWY-6626
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	salinosporamide A biosynthesis	PWY-6627
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	superpathway of L-phenylalanine biosynthesis	PWY-6628
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	superpathway of L-tryptophan biosynthesis	PWY-6629
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	superpathway of L-tyrosine biosynthesis	PWY-6630
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	O -methylation of tricetin	PWY-6631
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Nitrogen Containing Secondary Compound Degradation	caffeine degradation IV (bacteria, via demethylation and oxidation)	PWY-6632
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Nitrogen Containing Secondary Compound Degradation	caffeine degradation V (bacteria, via trimethylurate)	PWY-6633
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	2,3-dihydroxypropane-1-sulfonate degradation	PWY-6634
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Salicylate Degradation	salicylate degradation III	PWY-6636
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfolactate degradation II	PWY-6637
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfolactate degradation III	PWY-6638
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Salicylate Degradation	salicylate degradation IV	PWY-6640
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	superpathway of sulfolactate degradation	PWY-6641
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	(R)-cysteate degradation	PWY-6642
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	coenzyme M biosynthesis II	PWY-6643
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	fluoroacetate and fluorothreonine biosynthesis	PWY-6644
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	labdane-type diterpenes biosynthesis	PWY-6645
Detoxification	Detoxification	unknow	fluoroacetate degradation	PWY-6646
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Glycolipid Biosynthesis	rhamnolipid biosynthesis	PWY-6648
Degradation/Utilization/Assimilation	Carboxylate Degradation	Glycolate Degradation	glycolate and glyoxylate degradation III	PWY-6649
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	juvenile hormone III biosynthesis II	PWY-6650
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	ent -kaurene biosynthesis II	PWY-6653
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	phosphopantothenate biosynthesis III	PWY-6654
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	xanthan biosynthesis	PWY-6655
Biosynthesis	Storage Compound Biosynthesis	unknow	polyhydroxydecanoate biosynthesis	PWY-6657
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	acetan biosynthesis	PWY-6658
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	fusicoccin A biosynthesis	PWY-6659
Biosynthesis	Secondary Metabolite Biosynthesis	unknow	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis	PWY-6660
Biosynthesis	Secondary Metabolite Biosynthesis	unknow	4-hydroxy-2(1H)-quinolone biosynthesis	PWY-6661
Biosynthesis	Secondary Metabolite Biosynthesis	Superpathways	superpathway of quinolone and alkylquinolone biosynthesis	PWY-6662
Biosynthesis	Metabolic Regulator Biosynthesis	Organic Solute Biosynthesis	di-myo-inositol phosphate biosynthesis	PWY-6664
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	pterostilbene biosynthesis	PWY-6665
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	pyocyanin biosynthesis	PWY-6666
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Phenolic Compound Degradation	resveratrol degradation	PWY-6667
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis	PWY-6668
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	&delta,-guaiene biosynthesis	PWY-6669
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Terpenoid Degradation	citronellol degradation	PWY-6670
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Terpenoid Degradation	cis-genanyl-CoA degradation	PWY-6672
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	caffeoylglucarate biosynthesis	PWY-6673
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfur oxidation IV (intracellular sulfur)	PWY-6675
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	superpathway of sulfide oxidation (phototrophic sulfur bacteria)	PWY-6676
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	thiosulfate oxidation IV (multienzyme complex)	PWY-6677
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Terpenoid Degradation	geraniol and nerol degradation	PWY-6678
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	jadomycin biosynthesis	PWY-6679
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	neurosporaxanthin biosynthesis	PWY-6681
Biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	dehydrophos biosynthesis	PWY-6682
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfate reduction III (assimilatory)	PWY-6683
Activation/Inactivation/Interconversion	Activation	Glucosinolate Activation	glucosinolate breakdown (via thiocyanate-forming protein)	PWY-6684
Biosynthesis	Metabolic Regulator Biosynthesis	Organic Solute Biosynthesis	glucosylglycerate biosynthesis II	PWY-6685
Biosynthesis	Metabolic Regulator Biosynthesis	Organic Solute Biosynthesis	mannosylglucosylglycerate biosynthesis I	PWY-6686
Biosynthesis	Metabolic Regulator Biosynthesis	Organic Solute Biosynthesis	mannosylglucosylglycerate biosynthesis II	PWY-6687
Degradation/Utilization/Assimilation	Hormone Degradation	unknow	thyronamine and iodothyronamine metabolism	PWY-6688
Macromolecule Modification	Nucleic Acid Processing	tRNA Splicing	tRNA splicing	PWY-6689
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Phenolic Compound Degradation	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	PWY-6690
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	plaunotol biosynthesis	PWY-6691
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Iron Metabolism	Fe(II) oxidation	PWY-6692
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	galactose degradation IV	PWY-6693
Degradation/Utilization/Assimilation	Carboxylate Degradation	Oxalate Degradation	oxalate degradation I	PWY-6694
